,Combination,P2,P3,P4,P5,P6,P7,P8,P9
2006,pHSP12-OP_TATA_OP-UAS_BEC,1771,2262,3303,5488,3112,1995,3,3
2007,pHSP12-OP_TATA_OP-UAS_BED,556,697,1208,1046,1553,552,0,1
2008,pHSP12-OP_TATA_OP-UAS_BEE,25,29,41,21,12,43,0,0
2009,pHSP12-OP_TATA_OP-UAS_BEF,1227,1552,1662,2214,802,1460,1,5
2010,pHSP12-OP_TATA_OP-UAS_BFA,802,475,958,885,395,718,1,0
2011,pHSP12-OP_TATA_OP-UAS_BFB,1,3,2,1,3,8,0,1
2012,pHSP12-OP_TATA_OP-UAS_BFC,1351,1300,2440,1743,893,1783,2,0
2013,pHSP12-OP_TATA_OP-UAS_BFD,1115,1483,1810,3115,1782,2281,3,2
2014,pHSP12-OP_TATA_OP-UAS_BFE,266,681,832,689,69,835,1,2
2015,pHSP12-OP_TATA_OP-UAS_BFF,628,618,1436,1699,800,1146,0,0
2016,pHSP12-OP_TATA_OP-UAS_CAA,12,1,15,15,4,5,0,0
2017,pHSP12-OP_TATA_OP-UAS_CAB,6,3,1,4,6,1,0,0
2018,pHSP12-OP_TATA_OP-UAS_CAC,2181,1937,3666,3237,1605,3438,3,0
2019,pHSP12-OP_TATA_OP-UAS_CAD,1419,1425,2548,2423,1362,1524,0,0
2020,pHSP12-OP_TATA_OP-UAS_CAE,7,10,37,7,11,21,0,1
2021,pHSP12-OP_TATA_OP-UAS_CAF,1285,1599,3016,1451,1483,1485,4,0
2022,pHSP12-OP_TATA_OP-UAS_CBA,20,5,27,17,7,15,0,0
2023,pHSP12-OP_TATA_OP-UAS_CBB,0,0,2,0,0,0,0,0
2024,pHSP12-OP_TATA_OP-UAS_CBC,3408,3984,6939,7136,3926,4446,1,4
2025,pHSP12-OP_TATA_OP-UAS_CBD,889,745,1875,1192,967,431,0,2
2026,pHSP12-OP_TATA_OP-UAS_CBE,15,33,26,23,10,23,0,0
2027,pHSP12-OP_TATA_OP-UAS_CBF,719,651,1296,1158,777,948,0,3
2028,pHSP12-OP_TATA_OP-UAS_CCA,1,12,19,10,2,6,0,0
2029,pHSP12-OP_TATA_OP-UAS_CCB,0,1,0,0,0,1,0,0
2030,pHSP12-OP_TATA_OP-UAS_CCC,659,696,1690,1126,435,1922,0,1
2031,pHSP12-OP_TATA_OP-UAS_CCD,340,245,778,171,135,257,1,0
2032,pHSP12-OP_TATA_OP-UAS_CCE,2,5,3,0,4,4,0,0
2033,pHSP12-OP_TATA_OP-UAS_CCF,17,14,32,174,11,14,0,0
2034,pHSP12-OP_TATA_OP-UAS_CDA,256,260,455,433,461,446,0,0
2035,pHSP12-OP_TATA_OP-UAS_CDB,0,1,2,0,1,2,0,0
2036,pHSP12-OP_TATA_OP-UAS_CDC,1621,1805,3675,3166,2922,3326,4,6
2037,pHSP12-OP_TATA_OP-UAS_CDD,693,930,1567,1329,1173,538,1,0
2038,pHSP12-OP_TATA_OP-UAS_CDE,175,244,523,416,482,757,0,0
2039,pHSP12-OP_TATA_OP-UAS_CDF,731,901,2139,1047,333,1277,0,1
2040,pHSP12-OP_TATA_OP-UAS_CEA,11,15,21,16,11,6,0,0
2041,pHSP12-OP_TATA_OP-UAS_CEB,0,0,0,4,0,3,0,0
2042,pHSP12-OP_TATA_OP-UAS_CEC,335,774,1106,1055,583,538,1,2
2043,pHSP12-OP_TATA_OP-UAS_CED,654,466,1190,743,862,1434,1,0
2044,pHSP12-OP_TATA_OP-UAS_CEE,107,241,222,166,148,193,0,0
2045,pHSP12-OP_TATA_OP-UAS_CEF,185,212,403,442,383,343,1,2
2046,pHSP12-OP_TATA_OP-UAS_CFA,180,404,357,293,57,570,0,1
2047,pHSP12-OP_TATA_OP-UAS_CFB,5,4,3,7,4,1,0,0
2048,pHSP12-OP_TATA_OP-UAS_CFC,436,552,799,810,748,928,0,2
2049,pHSP12-OP_TATA_OP-UAS_CFD,718,827,1440,1544,554,1560,1,1
2050,pHSP12-OP_TATA_OP-UAS_CFE,49,130,92,273,38,79,0,0
2051,pHSP12-OP_TATA_OP-UAS_CFF,399,682,816,1124,289,461,1,1
