,Combination,P2,P3,P4,P5,P6,P7,P8,P9
3263,pEXG1-N30_OP-UAS_ADF,35,37,168,1674,1586,303,33,7
3264,pEXG1-N30_OP-UAS_AEA,2,2,72,318,122,20,2,0
3265,pEXG1-N30_OP-UAS_AEB,0,3,0,1,2,0,0,0
3266,pEXG1-N30_OP-UAS_AEC,40,690,3120,242,117,39,21,12
3267,pEXG1-N30_OP-UAS_AED,20,22,100,1729,1925,286,28,17
3268,pEXG1-N30_OP-UAS_AEE,4,3,20,34,316,45,2,3
3269,pEXG1-N30_OP-UAS_AEF,7,20,86,1319,954,139,6,11
3270,pEXG1-N30_OP-UAS_AFA,0,8,30,0,2,1,0,0
3271,pEXG1-N30_OP-UAS_AFB,1,1,7,0,0,0,0,0
3272,pEXG1-N30_OP-UAS_AFC,110,3040,3616,274,87,34,25,34
3273,pEXG1-N30_OP-UAS_AFD,39,128,3465,3560,609,139,38,21
3274,pEXG1-N30_OP-UAS_AFE,0,21,153,115,17,5,1,0
3275,pEXG1-N30_OP-UAS_AFF,7,37,539,512,70,12,5,1
3276,pEXG1-N30_OP-UAS_BAA,0,7,23,4,0,3,0,0
3277,pEXG1-N30_OP-UAS_BAB,33,30,250,1214,177,99,4,3
3278,pEXG1-N30_OP-UAS_BAC,243,5256,4106,366,103,59,53,23
3279,pEXG1-N30_OP-UAS_BAD,16,27,1381,1807,292,56,12,9
3280,pEXG1-N30_OP-UAS_BAE,0,4,42,5,1,0,0,1
3281,pEXG1-N30_OP-UAS_BAF,93,185,7851,2272,233,84,29,29
3282,pEXG1-N30_OP-UAS_BBA,33,59,2226,299,17,23,10,3
3283,pEXG1-N30_OP-UAS_BBB,0,4,10,93,0,2,0,1
3284,pEXG1-N30_OP-UAS_BBC,199,5960,10451,844,211,96,63,53
3285,pEXG1-N30_OP-UAS_BBD,64,219,2819,1118,88,23,23,8
3286,pEXG1-N30_OP-UAS_BBE,2,11,45,2,1,1,0,1
3287,pEXG1-N30_OP-UAS_BBF,75,226,9027,2148,226,91,32,31
3288,pEXG1-N30_OP-UAS_BCA,1,3,155,133,39,8,0,0
3289,pEXG1-N30_OP-UAS_BCB,0,0,1,1,1,0,0,0
3290,pEXG1-N30_OP-UAS_BCC,122,1034,6808,409,110,90,33,9
3291,pEXG1-N30_OP-UAS_BCD,11,58,1140,1463,212,55,17,6
3292,pEXG1-N30_OP-UAS_BCE,3,12,314,121,3,12,3,0
3293,pEXG1-N30_OP-UAS_BCF,27,19,211,3010,1044,258,28,14
3294,pEXG1-N30_OP-UAS_BDA,10,29,691,105,12,17,1,1
3295,pEXG1-N30_OP-UAS_BDB,1,2,2,0,0,0,0,0
3296,pEXG1-N30_OP-UAS_BDC,466,5719,3740,323,109,74,57,26
3297,pEXG1-N30_OP-UAS_BDD,34,150,5312,1362,188,57,23,11
3298,pEXG1-N30_OP-UAS_BDE,1,33,40,2,1,5,1,0
3299,pEXG1-N30_OP-UAS_BDF,0,3,4,1,0,2,0,0
